text,summary
Appeal No. 249 of 1953.,"On appeal from the judgment and decree dated the 1st day of September, 1949, of the Bombay High Court in Appeal No. 23 of 1947 from original decree arising out of the decree dated the 28th September 1946 of the Civil Judge, Session Division at Belgawn in Suit No. 360 of 1945."
Special Leave Petition (Civil) No. 8461 of 1986.,"From the Judgment and Order dated 31.3.1986 of the Central Administrative Tribunal, New Delhi, in Original Appln."
The issue arising in the appeal is whether the appellants have satisfied the threshold conditions set out in section 1(6) of the Equal Pay Act 1970 (the Act) in order to bring claims alleging that they are employed under less favourable terms and conditions than certain male employees of the respondent council who do work of equal value.,"The appellants have to establish that the male employees are in the same employment as they are, notwithstanding the fact that they are employed on different terms and conditions at different establishments from the appellants."
The respondent had bean employed by the appellant as an Assistant Station Superintendent.,An order was passed terminating his services with immediate effect With payment of one month 's salary in lieu of notice.
The appellant was appointed a qanungo in Pepsu and latter as Assistant Consolidation Officer.,"Complaints having been received against him, an enquiry was held as a result of which he was dismissed by the Revenue Secretary."
Appeal No. 397 of 1960.,"Appeal from the judgment and order dated. ' November 24, 1958, of the Kerala High Court ill I. T. R. No. 23 of 1957."
The appellants held the post of Shambhogues on hereditary basis under the Mysore Village Offices Act 1908.,"This Court in the case of Gowla Dasrath Ramarao held that a law which recognises the custom by which a preferential right to an office vested in the members of a particular family was not consistant with the fundamental right guaranteed by Article 16 of the Constitution and that the Madras Hereditary Village Offices Act of 1895 in so far as it made discrimina tion on the ground of descent only was violative of Article 16(2) of the Constitution and, therefore, void."
"The appellant company owned jute mills situated in Raigarh in the State of Madhya Pradesh, and it had to bring raw material from many railway booking stations outside the State as there was no other means of transport both for bringing jute to the mills and for carrying the finished products to ports for export to foreign countries; the jute mills in West Bengal and Madras had facilities for direct shipment of their goods without carriage by rail to the ports, and so the prices of the products of the appellant could not be brought down to the competitive level for the purposes of export out of, or sale in, India.","The appellant filed a complaint before the Railway Rates Tribunal under section 41 of the Indian Railways Act, 1890, on the allegations that the Railway administration had contravened the provisions of section 28 of the Act in that it had offered special rates for certain stations in its zone to Kanpur which were cheaper than those that were charged between Raigarh and some other railway stations, and that the charges levied for the freight of the appellant 's goods were unreasonable and excessive."
"A notification was issued under section 4 of the Land Acquisition Act on October 15, 1960 for acquisition of the land in dispute.",The Collector did 'not.
Appeals Nos.,1153 to 1160 and 1161 to 1168 of 1968.
Appeal No. 1748 of 1967.,From the Judgment and order dated the 6th January 1961 of the Mysore High Court at Bangalore in.
Civil Appeal No. 1234 of 1977.,From the Judgment and Order dated 19.8.74 of Allahabad High Court in Civil Writ Petition No. 4827 of 1974 R.K. Garg and Shakeel Ahmed Syed for the appellant.
Criminal Appeal No. 415 of 1986.,From the Judgment and Order dated 16.5.
Appeal No. 1192 and 1193 of 1967.,"Appeal by special leave from the order dated January 13, 1969 of the Punjab and Haryana High Court, at Chandigarh, in L.P.A. No. 6 of 1969."
An order of a District Magistrate under sections 431 and 432 of the Bengal Municipal Act (XV of 1932) for the disposal of an article of food which has been seized under section 428 of the said Act is not an order of forfeiture of property within the meaning of the proviso to rule 9 of Chap.,"II of Part II of the Calcutta High Court Rules, and a Single Judge of the said High Court has jurisdiction to hear a reference from such an order."
N: Criminal Appeal Nos.,606 and 607 of 1979.
The suit plot was let out to the appellant as a monthly tenant for an automobile garage.,"The respondent plaintiff issued a notice on 10th July, 1975 determining the lease in favour of the appellant with effect from 31st July, 1975, and filed a suit for eviction."
Civil Appeal No. 2229 of 1978.,From the Judgment and Order dated 12 10 1978 of the Bombay High Court in Election Petition No. 2/78.
Appeal Nos. 182 and 183 of 1993.,"From the Judgment and Order dated 6.6.86 of the Central Ad ministrative Tribunal, Chandigarh in O.A./T.A. Nos.49 & 102 of 1986."
"The imposition of ""profession tax"" by the respondent Municipal Council under the Travancore District Municipalities Act (Act XXIII of the Malayalam year 1116) was challenged on the grounds, inter alia (1) that the requisite notification was not published by the Municipal Council but by its commissioner, (2) that the period of thirty days which was given for filing objections to the imposition was insufficient in law which required a period of "" not less than a month "", and (3) that this was a mandatory provision under the proviso to section 78 of the Act.","Held, that under section 16 the Commissioner being the executive authority of the Municipal Council was authorised to give effect to the resolutions of the Council and to perform all its executive duties."
Appeal No. 2462 of 1968.,Appeal by Special Leave from the Judgment and Order dated 17 5 1968 of the Allahabad High Court in First Appeal No. 13 of 1956.
The appellant assessee carried on the business of mining gypsum.,"The predecessor in interest of the assessee acquired a lease from the Maharaja of one of the erstwhile princely State on September 29, 1948 for mining of gypsum for a period of 20 years over an area of 4.27 square miles in the State."
"The All India Sainik Schools Employees Association in a petition filed in this Court under Article 32 of the Constitution has asked for a writ of mandamus directing the respondents, primarily, to extend to the employees working in the Sainik Schools all.",the service benefits and advantages in the same pattern as obtaining in Kendriya Vidyalaya Sangthan.
"The appellant was a firm in Madhya Pradesh and was registered as a dealer ' under the Central Provinces and Berar Sales Tax Act, 1947 as amended by the Madhya Pradesh Sales Tax (Amendment) Act, 1953.",During 1951 and 1955 the firm imported tobacco from the State of Bombay on the declaration that it would be used as raw material in the manufacture of goods for sale by actual delivery in Madhya Pradesh for consumption in that State.
it Petition No. 1389 of 1987.,(Under Article 32 of the Constitution of India).
"In order to trade, sex shops in Westminster need a licence from Westminster City Council (Westminster) under schedule 3 of the Local Government (Miscellaneous Provisions) Act 1982, paragraph 19 of which provides that an applicant for the grant, renewal or transfer of a licenceshall pay a reasonable fee determined by the appropriate authority [1].",European Union law has placed limits upon the licence fees which can be charged.
ivil Appeal No. 1995 of 1990.,From the Judgment and Order dated 23.11.1988 of the Patna High Court in C.W.J.C. No. 8457 of 1988.
ivil Appeal No. 4003 of 1989.,From the Judgment and Order dated 17.12.
Appeal (Criminal Appeal No. 1 of 1950) by special leave from an order of the High Court of Allahabad.,"N.P. Asthana, and N.C. Chatterjee (K.B. Asthana, with them) for the appellant."
R was a man of considerable property.,He married four times.
Civil Appeal No. 854 of 1971.,"Appeal by Special leave from the judgment and order dated the 6th November, 1970 of the Andhra Pradesh High Court in S.A. Nos. 719 and 826 of ]967 T. section Krishnamoorti Iyer Mrs. J. Ramachandran and K. Ram Kumar for the Appellant."
The petitioner who was detained under sec.,"3(2) of the , was conveyed seven grounds of detention by the Detaining Authority."
The respondent Piara Singh was apprehended in September 1958 by the Indian Police while crossing the Indo Pakistan border into Pakistan.,"A sum of Rs. 65,500/ in currency notes was recovered from his person."
Civil Appeal No. 1347 of 1970.,From the Judgment and Decree dated 29 4 1969 of the Jammu and Kashmir High Court in Civil Appeal No. 67 of 1965.
"Coal was despatched from colleiries within British India in December 1946 and January and February 1947, to the appellant in Indore.","The respondent filed a suit in 1953 for recovery of coal production cess levied under the Coal Production Fund Ordinance, 1944, and r. 3(1) of the Coal Production Fund Rules, 1944."
l Appeals Nos.,2350 to 2353 of 1968 and 1313 to 1316 of 1971.
"% Sub section (3) of section 11 of the Kerala Buildings (Lease and Rent Control) Act, 1965 permits eviction of a tenant where the landlord bona fide needs the building for his own occupation.",The second proviso thereto excepts the tenant depending for his livelihood mainly on business carried on in such building.
100 and 101 of 1956.,Petitions under Article 32 of the Constitution for writs in the nature of Habeas Corpus.
iminal Appeals Nos. 205 and 206 of 1968.,Appeal from the judgment and order dated February 21 1968 of the Kerala High Court in Criminal Revision Petitions Nos. 415 and 416 of 1967.
"The Regional Transport Authority granted a stage carriage permit to the respondent as against the appellant on the ground that the former was a single bus operator while the appellant was an operator having four stage carriage permits, including a stage carriage permit which was recently granted to him.","The State Transport Appellate Tribunal, on the other hand, took the view that the respondent did not have a pucca fire proof building for workshop,."
The appellant 's manager was violently attacked by its workmen as a result of which he sustained serious injuries.,The workers in the lower division also threatened the appellant 's staff working in that division that they would murder them if they worked there.
"Due to a collision on the highway between a Petrol tanker and a truck, the Petrol tanker went off the road and fell on its side at some distance from the highway.","As a result of it, petrol leaked out and collected nearby."
"This Petition under Article 32 of the Constitution has been filed by one Madhu Mehta National Convenor of Hindusta ni Andolan and a Social worker praying for a writ of Habeas Corpus or an appropriate direction in regard to one Gyasi Ram s/o Param aged 60 years, who, is stated to be waiting for a decision on his mercy petition by the President of India for about 8 or 9 years.","He is stated to be confined in the Death Cell, Central Jail, Jhansi."
Civil Appeal No. 504 (N) of 1971.,Appeal from the Judgment and order dated the 24th April 1970 of the Madhya Pradesh High Court in Misc.
An appeal by the State.,"against a decision enhancing compensation in respect of acquisition of lands for a public purpose, raising important questions as regards principles of valuation, was dismissed by the High Court as time barred, being four days beyond time, by rejecting an appli cation for condonation of dalay."
vil Appeal Nos.,2270 73 of 1987 & 17 13/1990.
"During the pendency of proceedings before an Industrial Tribunal relating to certain disputes between a bank and its workmen represented by the union of its employees, the respondents along with other workmen numbering over a thousand commenced a general strike in connection with a fresh dispute.","The strikers were dismissed and on a reference to another Tribunal, it was held by that Tribunal that the strike was illegal and the dismissal was legal."
The respondent entered into two contracts with the B Company (sellers) of New York to purchase certain chemicals and in pursuance of the contracts placed three indents for the material in December 1950 and January 1951.,The indents specified that the materials were to be packed in new fibre drums.
According to r. 9(1) of the Kerala General Sales tax Rules framed under.,"the Kerala General Sales tax Act, 1963, in determining the taxable turnover of a dealer the excise duty, if any, paid by the dealer to the Government of Kerala or to the Central Government in respect of the goods sold by him shall be deducted."
Appeal No. 598 of 1962.,"Appeal from the judgment and order dated March 18, 1961 of the Maharashtra High Court (Nagpur Bench) at Nagpur in Special Civil Application No. 30 of 1960."
"The Special Officer , Town Planning Department , Jaipur issued a notice under section 52 (2) of the Rajasthan Urban Improvement Act , 1959 at the instance Or the Improvement Trust to the respondent company which owned extensive land on the outskirts of Jaipur City stating that it was proposed by the State Government to acquire the said land under 9. 52 (1) for a public purpose , the implementation of a developing scheme at public expense viz. the Civil Lines Extension Scheme , and the said notice was duly served on the respondents at their registered office at 18B , Brabourne Road , Calcutta.","In compliance therewith , the respondents appeared before the Special Officer and while denying the existence of a public purpose for acquisition of the said land under section 52 (1) of the Act , asserted that they needed the land to start new business in the State of Rajasthan viz. for establishment of a branch office , construction of residential houses for their Director and Senior Executives etc."
Appeal No. 228 of 1953.,"Appeal by special leave from the Judgment and Decree dated September 6,1951, of the Bombay High Court in Appeal No. 496 of 1950 from the Judgment and Decree dated March 31, 1950, of the Civil Judge, Senior Division, Kolhapur in Civil Suit No. 23 of 1949."
"The appellant, an Advocate, tenanted a ' building belonging to tho respondent.","The respondent sued the appellant for possession of the premises and by a compromise, the Appellant agreed to vacate the premises by a certain date."
The appellant was tried and convicted for murder and sentenced to death.,Two eye witnesses testified that he shot and killed the deceased from a shop while the later was passing on a motor cycle.
The appellant was a constable in the police force ' of Haryana State.,"At the relevant time he was posted to do duty at the police lines, Karnal."
"l Appeals Nos. 1752 to 1769 of 1970 From the Judgment and Order dated the 24th April, 1970 of the Mardas High Court in Writ Petitions Nos. 239, 346, 999, 1000, 1007, 1030, 1071, 1101, 1102, 1223, 1242, 1270, 1271, 1724, 1725, 1748, 2640 and 3252 of 1969.","Y. section Chitle, V. M. Ganpule, K. R. Choudhury and K. Rajendra Choudhury, for the appellants."
"iminal Appeal No. 72 of 1962, Appeal by special leave from the judgment and order dated February 8, 1962, of the Allahabad High Court in Criminal Appeals Nos, 1728 and 1739 of 1961 and Referred No. 125 of 1961.","Jai Gopal Sethi, A.N. Mulla, J.B. Goyal, C.L. Sareen and R.L. Kohli, for the appellants, G.C. Mathur and C.P. Lal, for the respondent, 1962."
"Mainavati, who had purchased the premises in question at a court sale, conveyed the same by sale in favour of Gopinath.",The appellant who was in occupation attorned his tenancy in favour of Gopinath.
The appellant society carried on business as public carriers on the Kanpur Delhi route.,By an agreement in 1954 they appointed the respondents as their Managing Agents for a period of 3 years.
262 of 1955.,Under Article 32 of the Constitution for a Writ in the nature of Habeas Corpus.
"Out of 45 employees of the respondent, 18 had become members of a Trade Union.","Later, these 18 employees were dismissed by an order passed on the same day."
"The assessee company was incorporated in 1935 and its Memorandum of association authorised it, inter alia, to promote and to undertake the formation and establishment of other companies and to assist any company financially or otherwise.",There was another company known as the Southern Agencies Ltd. and Mr. A. V. Thomas was director of both these companies.
"The DGS&D, representing the Government of India, had entered into a contract with the appellant firm for supply of some timber.","Clause 18 of the standard form of contract, under the head ""Recovery of sums due"", provided inter alia that whenever any claim for payment of a sum of money arose out of or under the contract against."
Civil Appeal No. 2269 of 1980 etc.,From the Judgment and order dated 30.7.80 of the High Court of Bombay in Appeal No. 252/1980 etc.
Appeal No. 378 of 1965.,"Appeal from the Judgment and decree dated April 9, 1963 of the Bombay High Court in First Appeal No. 616 of 1961."
"When a notification is published under section 12(1) of the , under section 12(2) the right, title and interest of the evacuee in the evacuee property is extinguished and the property vests absolutely in the Central Government free from all encumbrances.",Section 13 of the Act provides for the payment of compensation for such acquisition in accordance with the principles agreed upon between the Government of India and Pakistan.
"In an application under article 226 of the Constitution, to challenge the validity of the transfer of a life insurance company 's business to another company under section 36 of the : ^ Held, the transfer though it brought about an abandonment of the business of the company was not bad as resulting in an alteration of the memorandum of the company without recourse to section 12 of the Indian Companies Act, 1913.",The Company 's memorandum of association contained a power to sell its undertaking and an exercise of that power does not amount to alteration of the memorandum.
Appeals Nos. 589 and 590 of 1967.,"Appeals by special leave from the judgment and order dated May 7, 1965 of the Calcutta High Court in Income tax Reference Nos. 183 and 238 of 1961."
Special Leave Petition (Civil) No. 10326 of 1989.,From the Judgment and Order dated 1.8.1989 of the Patna High Court in C.W.J.C. No. 5768 of 1989.
ivil Appeal No. 2912 of 1986.,From the Judgment and Order dated 1.4.85 of the Bombay High Court in Appeal No. 262 of 1985.
l Appeals Nos. 1133 and 11 34 of 1965.,"Appeal by special leave from the judgment and order dated November 18, 1964 of the Mysore High Court in T. R. C. No. 4 of 11964."
ition (Civil) Nos.,"888 892 of 1987, 757 of 1988 and 316 of 1989."
Criminal Appeals Nos. 160) and 171 of 1967.,"Appeals by special leave from the judgment and order dated May 12, 1967 of the Orissa High Court in Criminal Appeal No. '194 of 1965."
"These were proceedings brought by the Financial Conduct Authority (FCA) against Asset Land Investment plc and associated parties (Asset Land) and its principal owner and director Mr Banner Eve, alleging they had carried on a of regulated activities without authorisation, namely the operation of collective investment schemes, contrary to section 19 of the Financial Services and Markets Act 2000 (FSMA).",The activities related to sales of individual plots at six possible development sites in various parts of the United Kingdom.
Civil Appeal No. 87 of 1950.,"Appeal from the Judgment and Decree dated 8th Febru ary, 1949, of the High Court of Judicature at Patna (Manohar Lall and Mahabir Prasad JJ .) in Appeal No. 38 of 1946 arising out of decree dated the 18th December, 1945, of the Subordinate Judge of Deoghar in Title Suit No. 1 of 1939."
Civil Appeal No. 705 of 1962.,"Appeal by special leave from the Award dated September 19, 1961 of the Fourth Industrial Tribunal, West Bengal in Case No. VIII 42 of 1961."
Appeal No. 1367 of 1980.,From the Judgment and Order dated 19.7.1979 of the Rajasthan High Court in D.B. Civil Writ Petition No. 769 of 1979.
Civil Appeal No. 1155 of 1971.,(Appeal by Special Leave from the Judgment and Order dated 17 11 1969 of the Allahabad High Court in First Appeal No. 178/61).
"The Appellant, Nagar Panchayat, Una, a local body, was constituted under the Gujarat Panchayat Act, 1961, which came into force 'from April 1, 1963.","Prior to this enactment, the Bombay Municipal Act, 190 1, as applied to Saurashtra, was in force in that region of the present State of Gujarat and under its provisions the Una Municipality was constituted."
The appellant is a trade union registered under the Trade Unions Act.,It represents employees in the Chambal Project of Government of Madhya Pradesh in Gwalior Division.
"In the writ petition filed before this Court regarding alleged handcuffing of a practising advocate, contrary to law, while he was being taken to the court after he had been arrested on the charge of a criminal offence, it was alleged that the Union Government and the Delhi Administration had not issued necessary instructions to the police authorities with regard to the circumstances in which an accused, arrested in a criminal case, could be handcuffed or fettered in accordance with the judgment of this Court in Prem Kumar Shukla vs Delhi Administration, The question whether this Court can issue a writ for bringing into force section 30 of the , providing the right to every advocate, whose name was entered in the State roll to practice throughout the territories to which the Act extended before the Courts, Tribunals and other authorities or persons referred to in the Scction, in view of section 3(1) of the Act empowering Central Government to decide the dates on which various provisions of the Act, including section 3. should be brought into force, also came up for consideration.","On behalf of the respondents, it was submitted that it was for the Union of India to issue necessary instructions regarding handcuffing of an accused to all the State Governments and the Governments of Union Territories in accordance with the judgment in P.K. Shukla 's case, and that this Court had jurisdiction to issue a writ directing the Central Government to consider the question of bringing into force section 30 of the ."
No. 108 of 1961.,Writ Petition under article 32 of the Constitution of India for the enforcement of Fundamental Rights.
"Section 56 of the Bombay Police Act, 1951, is not unconstitutional and does not contravene the provisions of article 19 of the Constitution.","Gurbachan Singh vs State of Bombay ( ; , followed."
"Held, per MAHAJAN, MUKHERJEA, DAs and CHANDRASEKHARA AIYAR, JJ.",(PATANJALI SASTRI C.J. dissenting).
(Case No. 24 of 1050).,"Appeal under article 132 (1) of the Constitution of India, against the judgment and order of the High Court of Judicature at Calcutta in Criminal Miscellaneous Case No. 361 of 1050."
"This appeal arises out of a joint venture between Apex Global Management Ltd (Apex), a Seychelles company owned by Mr Almhairat, and Global Torch Ltd (Global), a British Virgin Islands company owned by Prince Abdulaziz (the Prince), Mr Abu Ayshih and Mr Sabha.","Apex and Global set up an English company Fi Call Ltd (Fi Call), and then fell out badly."
"The appellant (since deceased) was being assessed as the Karta of the Hindu Undivided Family consisting of himself, his mother, his wife and three sons until the assessment years 1948 49.",For the assessment year 1949 50 and subse quent years upto 1961 62 he filed a return in his individual capacity claiming that there had been a total partition of the family and that he was assessable in respect of the income from the properties of the family that fell to his share on partition; in the alternative he claimed partial partition.
Appeal No. 340 of 1958.,"Appeal by special leave from the Judgment and Order dated July 3, 1953, of the Punjab High Court in Civil Writ Application No. 256 of 1952."
"The petitioners challenged before the High Court the validity of a notification issued by the Lt. Governor of Delhi for the acquisition of lands in Delhi for ""planned development of Delhi"".",The High Court decided against the petitioners.
The act complained of is dishonest misappropriation or conversion of goods by the appellants which they had seized and as such were holding in trust to be dealt with in accordance with law.,This gave a bona fide apprehension to the respondent that the goods have been criminally mis appropriated by the appellants.
iminal Appeal No.165 of 1967.,"Appeal by special leave from the order dated April 27, 1967 of the Bombay High Court, Nagpur Bench in Criminal Appeal No. 74 of 1967."
The plaintiff (respondent) was employed at Calcutta in the Court of Wards and the service rules did not permit him to start or carry on any trade or business of his own.,"It was therefore arranged with the defendant that the defendant should be held out to be the owner of a boarding house the suit property of which the plaintiff was the true owner, and the plaintiff was to be in possession as manager."
Appeal No. 419 of 1973.,From the Judgement and Order dated the 22nd December 1972 of the Punjab and Haryana High Court at Chandigarh in Election Petition No. 2 of 1972.
"Section 54 of the Income tax Act, 1922, created a complete bar to the production by officials and other servants of the Income tax Department of the documents mentioned in the section.","But, where the assessee or his representative in interest himself produces a copy of the incometax assessment order in any legal proceeding the order would be admissible in evidence."
Appeal No. 387 of 1960.,"Appeal by special leave from the judgment and order dated February 12, 1960, of the Andhra Pradesh High Court, in Writ Petition No. 5 of 1960."
"On the question whether from the point of time an order for rateable distribution is passed by the executing Court the monies in question cease to be the property of the judgment debtor and become the property of the decree hold er, regardless of whether or not actual payment pursuant to the said order is made: Allowing the Appeal, HELD: 1. As soon as the question of rateable distribu tion between the decree holders and the State having statu tory priority is determined, and the Court passes an order as to how to appropriate the assets of the judgment debtor, the rights of the parties become crystalized and the monies in question cease to be the property of the judgment debtor and becomes the property of the decree holder, regardless of whether or not actual payment pursuant to the said order is made.","[930A B] Official Receiver of Tanjore vs M.R. Venkatarama lyer, AIR 1922 Madras p. 31, Murli Tahilram vs T. Asoomal & Co., AIR 1955 Calcutta p. 423, Basanta Kumar Bhattacharjee vs Panchu Gopal Dutta & Ors., AIR 1956 Calcutta p. 23 and Income tax Officer, Ward C. SangIi & Anr."
"The appellant company was carrying on business in diverse lines as managing agents of some concerns, distributing agents of others and a& secretaries of still other class of concerns.","It also dealt as an ex 122 porter and importer, shipping agent, and as buyer and dealer in diverse: commodities."
"Where the issue is whether there was legal necessity for a particular transaction, if all the original parties to the transaction and those who could have given evidence on the relevant points have passed away, a recital consisting of the principal circumstances of the case assumes greater importance and cannot be lightly set aside.",Banga Chandra Dhar Biswas vs Jagat Kishore Chowdhuri (43 I.A. 249) referred to.
"es of services cannot be applied towards objects of general public utility as part of general revenues, the converse is not valid.","General Public revenues can, with justification, be utilised to meet, wholly or in a substantial part, the expenses on the administration of civil justice."
"A Jagirdar executed a deed on August 5, 1949 in favour of the appellant for the sale of logs of a specified girth to be obtained from cutting the trees in his forests.","On February 19, 1951 the Forest Officer of the ' respondent State prevented the appellant and the Jagirdar from cutting the trees."
Appeal No. 1888/68.,Appeal by Special Leave from the Judgment and Order dated 10 1 1968 of the Madhya Pradesh High Court (Indore Bench) in Civil Revision No. 76/67.
"In 2005, the Assets Recovery Agency (ARA) obtained an interim receiving order over certain properties acquired by Mrs Szepietowskis husband with money allegedly obtained through drug trafficking, mortgage fraud and concealment from the Revenue.","In November 2006, the ARA began civil proceedings against Mr and Mrs Szepietowski (the Szepietowskis), seeking to confiscate 20 properties on the basis that they constituted recoverable property within section 266 of the Proceeds of Crime Act 2002 (the 2002 Act)."
: Criminal Appeal No. 37 of 1991.,From the Judgment and Order dated 7.3.
ivil Appeal No. 1080 of 1987.,From the Judgment and Order dated 3.2.
ivil Appeal No. 1465 of 1990.,From the Judgment and Order dated 13.3.
"The appellant, TRA, who was arrested in the United Kingdom on 1 June 2017, is charged with one count of conspiracy to commit torture (count 1) and seven counts of torture (counts 2 8).","The substantive offence alleged in each case is that of torture contrary to section 134, Criminal Justice Act 1988 (CJA)."
